,期数,开奖日期,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2,红球_1 顺序,红球_2 顺序,红球_3 顺序,红球_4 顺序,红球_5 顺序,奖池奖金,一等奖注数,一等奖奖金,二等奖注数,二等奖奖金,总投注额,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
38,23005,2023-01-11,01,03,10,20,29,06,11,29,01,03,10,20,"1,150,759,496",5,"10,000,000",113,"83,679","271,728,892",63,12.60,13,3,2,1,1,1,2,3,-1,4,4,0,0,28,10,1,1,1
39,23004,2023-01-09,04,13,15,20,22,04,08,15,22,20,04,13,"1,157,028,436",3,"10,000,000",106,"100,245","258,433,073",74,14.80,14,2,3,-1,1,1,2,3,-1,5,3,0,0,18,9,1,1,5
40,23003,2023-01-07,05,06,14,21,22,02,09,22,05,21,14,06,"1,140,824,558",6,"10,000,000",96,"131,395","281,549,083",68,13.60,18,2,3,-1,0,1,2,3,-1,5,3,2,2,17,8,0,2,1
41,23002,2023-01-04,11,14,21,26,27,02,07,21,27,14,11,26,"1,153,840,957",3,"10,000,000",48,"282,518","255,061,637",99,19.80,19,3,2,1,0,0,3,2,1,4,6,1,1,16,7,0,1,1
42,23001,2023-01-02,18,19,24,27,34,11,12,19,27,18,24,34,"1,124,542,797",0,0,64,"191,196","244,595,607",122,24.40,32,2,3,-1,0,0,5,0,5,4,6,1,1,16,7,0,0,1
43,22150,2022-12-31,06,07,26,29,30,03,12,07,06,26,30,29,"1,071,397,016",4,"10,000,000",117,"105,068","267,131,944",98,19.60,28,2,3,-1,0,0,3,2,1,4,4,2,2,24,19,0,1,1
44,22149,2022-12-28,15,19,22,26,28,02,07,22,15,26,28,19,"1,073,084,050",7,"8,559,676",46,"220,095","227,015,437",110,22.00,30,2,3,-1,1,2,4,1,3,5,4,0,0,13,4,1,1,2
45,22148,2022-12-26,04,05,06,26,27,07,12,06,26,27,05,04,"1,098,940,648",6,"8,092,788",138,"55,924","222,561,477",68,13.60,28,2,3,-1,0,1,2,3,-1,4,2,3,2,23,20,1,1,2
46,22147,2022-12-24,04,12,22,28,30,09,11,30,04,12,28,22,"1,126,392,172",2,"10,000,000",95,"119,521","242,212,561",96,19.20,16,0,5,-5,0,4,3,2,1,4,4,0,0,26,10,1,1,1
47,22146,2022-12-21,01,21,23,28,35,07,09,28,01,21,23,35,"1,091,896,946",1,"10,000,000",29,"425,529","226,981,538",108,21.60,18,4,1,3,2,0,4,1,3,4,5,0,0,34,20,1,1,2
48,22145,2022-12-19,10,20,29,30,35,06,09,35,30,10,20,29,"1,054,075,163",5,"8,228,015",141,"54,684","235,282,028",124,24.80,14,2,3,-1,0,1,4,1,3,3,5,1,1,25,10,0,0,1
49,22144,2022-12-17,03,04,08,15,21,04,07,21,08,04,15,03,"1,077,698,267",5,"9,732,901",111,"87,397","254,622,809",51,10.20,21,3,2,1,1,1,1,4,-3,5,6,1,1,18,7,0,0,1
50,22143,2022-12-14,10,13,14,27,33,07,08,13,27,33,14,10,"1,091,325,801",3,"10,000,000",121,"87,291","250,946,991",97,19.40,17,3,2,1,1,0,2,3,-1,4,6,1,1,23,13,1,1,1
51,22142,2022-12-12,07,12,14,29,35,01,11,07,29,35,14,12,"1,078,507,658",2,"10,000,000",83,"149,783","261,964,327",97,19.40,27,3,2,1,1,1,2,3,-1,5,6,0,0,28,15,1,1,1
52,22141,2022-12-10,05,06,14,24,25,02,04,25,05,14,24,06,"1,047,136,066",0,0,114,"116,962","280,927,317",74,14.80,24,2,3,-1,0,2,2,3,-1,3,4,2,2,20,10,1,2,4
53,22140,2022-12-07,05,15,25,26,29,04,12,05,25,26,15,29,"984,601,778",7,"8,414,552",111,"119,164","263,913,540",100,20.00,30,4,1,3,2,0,3,2,1,3,5,1,1,24,10,0,0,1
54,22139,2022-12-05,01,13,14,22,35,02,05,01,14,13,35,22,"1,016,097,851",2,"10,000,000",85,"161,085","249,420,144",85,17.00,15,3,2,1,1,1,2,3,-1,5,4,1,1,34,13,1,1,1
55,22138,2022-12-03,05,13,16,27,33,07,12,16,27,13,33,05,"983,440,468",14,"7,323,910",76,"164,786","263,569,680",94,18.80,24,4,1,3,2,0,2,3,-1,4,5,0,0,28,11,1,1,2
56,22137,2022-11-30,05,06,08,15,20,07,08,05,08,20,06,15,"1,041,138,783",8,"6,803,296",135,"50,059","236,652,115",54,10.80,24,2,3,-1,0,1,1,4,-3,4,6,1,1,15,7,0,1,0
