,期数,开奖日期,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2,红球_1 顺序,红球_2 顺序,红球_3 顺序,红球_4 顺序,红球_5 顺序
2013,09149,2009-12-21,01,03,10,12,20,02,07,20,10,03,01,12
2012,09150,2009-12-23,04,11,18,25,34,05,07,11,25,18,34,04
2011,09151,2009-12-26,03,08,14,30,31,04,09,14,03,08,31,30
2010,09152,2009-12-28,01,23,29,30,32,07,12,30,32,29,23,01
2009,09153,2009-12-30,21,22,30,32,34,03,07,32,34,21,30,22
2008,10001,2010-01-02,02,06,07,12,27,02,08,06,27,12,07,02
2007,10002,2010-01-04,04,23,25,26,30,07,10,26,30,25,04,23
2006,10003,2010-01-06,05,14,23,27,30,02,08,30,27,05,14,23
2005,10004,2010-01-09,03,06,21,24,34,04,06,24,21,03,06,34
2004,10005,2010-01-11,04,17,19,22,30,02,03,17,30,19,04,22
2003,10006,2010-01-13,03,13,19,30,34,02,05,34,30,03,13,19
2002,10007,2010-01-16,07,23,26,29,32,08,11,23,07,29,26,32
2001,10008,2010-01-18,11,23,25,31,32,05,11,32,23,25,31,11
2000,10009,2010-01-20,02,05,13,27,32,03,11,02,27,32,05,13
1999,10010,2010-01-23,15,22,24,32,35,02,09,32,15,24,35,22
1998,10011,2010-01-25,02,03,11,27,32,08,11,02,32,27,03,11
1997,10012,2010-01-27,20,24,30,31,33,05,12,31,33,20,24,30
1996,10013,2010-01-30,18,21,22,26,34,09,12,34,18,21,22,26
1995,10014,2010-02-01,18,19,30,33,35,02,04,18,30,19,33,35
1994,10015,2010-02-03,03,10,14,18,28,08,10,03,10,28,14,18
1993,10016,2010-02-06,10,12,20,23,32,04,10,12,32,20,23,10
1992,10017,2010-02-08,13,21,23,27,34,09,12,34,13,27,21,23
1991,10018,2010-02-10,03,10,26,32,33,04,12,10,32,03,33,26
1990,10019,2010-02-20,03,11,19,26,27,02,09,19,03,27,11,26
1989,10020,2010-02-22,08,18,26,32,33,01,06,33,08,26,18,32
1988,10021,2010-02-24,11,20,23,24,25,07,09,23,24,25,11,20
1987,10022,2010-02-27,02,11,13,14,25,02,05,02,14,11,25,13
1986,10023,2010-03-01,11,13,29,32,33,02,08,33,11,32,13,29
1985,10024,2010-03-03,03,14,19,24,25,04,11,14,25,19,03,24
1984,10025,2010-03-06,09,11,13,14,25,01,07,13,09,11,25,14
1983,10026,2010-03-08,05,23,25,31,35,07,10,05,25,35,23,31
1982,10027,2010-03-10,05,23,26,32,34,02,09,23,05,34,32,26
1981,10028,2010-03-13,01,02,07,20,35,01,03,02,35,07,20,01
1980,10029,2010-03-15,21,22,33,34,35,03,04,21,33,35,22,34
1979,10030,2010-03-17,10,12,19,32,35,02,07,10,12,35,19,32
1978,10031,2010-03-20,05,13,16,17,35,06,08,35,05,13,16,17
1977,10032,2010-03-22,13,16,23,24,33,07,11,16,33,24,13,23
1976,10033,2010-03-24,12,19,28,29,30,05,08,19,29,12,30,28
1975,10034,2010-03-27,01,06,19,25,26,03,09,25,26,19,01,06
1974,10035,2010-03-29,14,16,20,31,34,01,07,16,14,34,31,20
1973,10036,2010-03-31,19,25,28,31,33,01,08,28,25,19,33,31
1972,10037,2010-04-03,19,21,26,34,35,01,09,21,26,34,19,35
1971,10038,2010-04-05,08,10,25,29,33,01,02,25,33,10,08,29
1970,10039,2010-04-07,07,19,26,28,32,01,08,19,07,28,26,32
1969,10040,2010-04-10,13,20,26,31,35,02,11,26,13,20,31,35
1968,10041,2010-04-12,16,22,28,29,34,04,12,16,29,22,28,34
1967,10042,2010-04-14,01,05,19,34,35,06,07,01,05,35,34,19
1966,10043,2010-04-17,05,08,10,33,35,02,10,05,33,10,08,35
1965,10044,2010-04-19,06,21,24,28,30,02,07,24,21,28,06,30
1964,10045,2010-04-21,08,17,18,20,28,09,10,20,18,08,28,17
1963,10046,2010-04-24,02,15,19,26,27,05,06,19,15,02,26,27
1962,10047,2010-04-26,04,08,11,30,31,02,08,31,04,08,11,30
1961,10048,2010-04-28,02,03,10,12,25,03,09,03,12,02,10,25
1960,10049,2010-05-01,01,25,29,31,33,04,10,25,31,29,01,33
1959,10050,2010-05-03,07,08,15,30,35,05,10,35,08,15,07,30
1958,10051,2010-05-05,06,10,20,24,32,06,10,06,24,20,10,32
1957,10052,2010-05-08,04,06,25,29,32,05,06,06,32,25,29,04
1956,10053,2010-05-10,09,19,22,26,34,09,11,34,09,26,19,22
1955,10054,2010-05-12,12,25,29,30,33,10,11,25,12,33,29,30
1954,10055,2010-05-15,13,14,17,27,32,02,10,32,14,27,13,17
1953,10056,2010-05-17,05,09,23,25,30,09,12,25,09,30,05,23
1952,10057,2010-05-19,15,17,24,32,35,07,09,15,35,32,24,17
1951,10058,2010-05-22,06,15,17,19,30,01,12,19,17,30,15,06
1950,10059,2010-05-24,06,10,14,25,34,01,03,25,14,06,10,34
1949,10060,2010-05-26,10,13,22,33,34,01,05,34,10,13,33,22
1948,10061,2010-05-29,05,12,14,17,22,05,07,17,05,22,12,14
1947,10062,2010-05-31,06,07,18,30,31,07,08,18,30,07,06,31
1946,10063,2010-06-02,07,14,16,30,31,03,06,16,31,14,07,30
1945,10064,2010-06-05,07,10,12,20,21,06,09,12,07,20,10,21
1944,10065,2010-06-07,05,08,13,14,32,08,11,32,13,05,14,08
1943,10066,2010-06-09,15,21,22,24,27,01,06,22,15,24,21,27
1942,10067,2010-06-12,01,11,19,30,32,03,10,32,19,01,11,30
1941,10068,2010-06-14,11,17,19,20,34,06,10,11,19,17,20,34
1940,10069,2010-06-16,06,17,18,25,29,08,09,06,25,29,17,18
1939,10070,2010-06-19,05,14,23,25,28,11,12,23,28,25,14,05
1938,10071,2010-06-21,07,12,26,30,32,02,07,07,32,30,12,26
1937,10072,2010-06-23,05,10,17,23,25,03,10,25,10,05,23,17
1936,10073,2010-06-26,04,09,11,30,32,01,11,30,32,09,11,04
1935,10074,2010-06-28,03,07,20,27,32,02,12,27,03,20,32,07
1934,10075,2010-06-30,10,12,17,23,27,05,07,17,10,12,27,23
1933,10076,2010-07-03,09,12,16,19,35,02,12,09,35,16,19,12
1932,10077,2010-07-05,06,07,09,17,24,02,12,24,07,09,06,17
1931,10078,2010-07-07,02,03,15,28,35,01,11,35,15,03,02,28
1930,10079,2010-07-10,01,04,21,22,24,02,05,22,04,01,24,21
1929,10080,2010-07-12,08,19,27,29,34,04,10,29,34,19,08,27
1928,10081,2010-07-14,14,18,20,24,27,05,10,24,18,20,27,14
1927,10082,2010-07-17,05,08,24,29,30,04,06,05,30,29,08,24
1926,10083,2010-07-19,07,11,21,22,35,04,07,07,11,21,35,22
1925,10084,2010-07-21,03,13,14,22,26,02,05,13,22,26,14,03
1924,10085,2010-07-24,02,10,16,18,34,02,03,02,18,16,34,10
1923,10086,2010-07-26,01,02,12,19,35,05,07,12,01,35,02,19
1922,10087,2010-07-28,01,12,20,21,24,02,08,12,21,24,20,01
1921,10088,2010-07-31,03,05,14,30,35,03,06,35,03,14,05,30
1920,10089,2010-08-02,04,10,13,18,23,08,10,18,04,13,23,10
1919,10090,2010-08-04,08,24,26,31,32,07,09,26,24,08,31,32
1918,10091,2010-08-07,06,10,23,26,31,05,07,31,26,23,10,06
1917,10092,2010-08-09,02,15,29,30,34,02,12,34,15,29,02,30
1916,10093,2010-08-11,02,04,09,28,29,05,08,09,28,29,04,02
1915,10094,2010-08-14,20,32,33,34,35,06,07,34,32,33,35,20
1914,10095,2010-08-16,12,14,16,19,25,01,06,14,12,16,25,19
1913,10096,2010-08-18,04,09,24,30,35,01,10,09,30,35,04,24
1912,10097,2010-08-21,09,17,21,28,29,02,08,09,28,29,17,21
1911,10098,2010-08-23,02,03,12,13,25,01,07,13,12,02,25,03
1910,10099,2010-08-25,03,11,17,21,30,01,08,21,11,30,03,17
1909,10100,2010-08-28,19,20,30,33,35,06,08,35,20,30,19,33
1908,10101,2010-08-30,11,15,22,27,35,05,08,27,35,22,11,15
1907,10102,2010-09-01,04,15,19,24,35,01,10,35,19,15,04,24
1906,10103,2010-09-04,10,14,29,30,35,05,08,14,29,35,10,30
1905,10104,2010-09-06,14,25,30,32,33,01,11,25,32,30,14,33
1904,10105,2010-09-08,05,17,26,27,35,08,09,27,17,26,35,05
1903,10106,2010-09-11,05,27,28,29,34,09,12,05,34,27,28,29
1902,10107,2010-09-13,14,17,22,27,34,03,05,34,27,14,22,17
1901,10108,2010-09-15,01,10,13,19,34,09,12,34,19,13,01,10
1900,10109,2010-09-18,01,02,08,11,25,10,12,25,08,01,02,11
1899,10110,2010-09-20,21,29,30,33,35,07,11,21,35,33,30,29
1898,10111,2010-09-22,03,06,13,14,29,01,02,14,06,29,03,13
1897,10112,2010-09-25,14,15,18,34,35,08,10,34,18,35,15,14
1896,10113,2010-09-27,05,16,22,23,32,04,10,22,23,16,05,32
1895,10114,2010-09-29,03,07,22,25,35,03,11,35,22,25,07,03
1894,10115,2010-10-02,05,07,10,15,32,03,08,32,15,05,07,10
1893,10116,2010-10-04,14,22,27,28,35,04,10,35,28,22,14,27
1892,10117,2010-10-06,04,06,21,27,34,05,09,04,27,34,21,06
1891,10118,2010-10-09,19,22,23,29,35,08,10,35,22,29,23,19
1890,10119,2010-10-11,05,13,14,23,26,02,03,26,05,23,14,13
1889,10120,2010-10-13,08,10,18,34,35,06,10,08,34,18,10,35
1888,10121,2010-10-16,21,22,31,32,34,02,12,21,31,22,32,34
1887,10122,2010-10-18,05,06,11,13,26,02,07,13,05,11,06,26
1886,10123,2010-10-20,18,20,30,32,33,01,11,18,30,20,32,33
1885,10124,2010-10-23,01,09,27,29,34,01,06,29,27,09,01,34
1884,10125,2010-10-25,01,07,09,14,19,09,12,09,01,07,14,19
1883,10126,2010-10-27,03,05,09,13,33,05,11,05,13,03,09,33
1882,10127,2010-10-30,03,22,24,30,33,04,10,03,22,24,30,33
1881,10128,2010-11-01,06,17,19,29,35,02,08,19,06,35,17,29
1880,10129,2010-11-03,14,15,24,25,26,03,07,14,26,25,24,15
1879,10130,2010-11-06,05,06,09,10,34,08,11,05,06,34,09,10
1878,10131,2010-11-08,10,15,22,28,29,04,12,29,28,22,10,15
1877,10132,2010-11-10,18,21,23,25,29,06,11,25,29,21,23,18
1876,10133,2010-11-13,11,16,17,21,22,03,06,21,17,16,11,22
1875,10134,2010-11-15,09,12,13,19,30,04,05,13,30,12,09,19
1874,10135,2010-11-17,14,17,19,26,32,03,04,32,26,17,19,14
1873,10136,2010-11-20,03,13,18,30,33,07,08,30,33,03,18,13
1872,10137,2010-11-22,22,27,28,33,35,09,11,28,35,33,22,27
1871,10138,2010-11-24,08,12,14,19,27,05,06,12,08,27,19,14
1870,10139,2010-11-27,03,13,16,19,29,07,09,13,03,16,29,19
1869,10140,2010-11-29,06,18,20,30,31,03,06,31,20,18,06,30
1868,10141,2010-12-01,05,11,17,23,33,03,10,17,23,05,11,33
1867,10142,2010-12-04,10,11,19,21,27,04,06,27,19,11,10,21
1866,10143,2010-12-06,10,16,18,22,27,06,08,27,10,18,16,22
1865,10144,2010-12-08,02,11,16,22,31,10,11,02,16,22,31,11
1864,10145,2010-12-11,18,19,27,28,33,03,06,18,33,19,28,27
1863,10146,2010-12-13,14,17,30,31,34,04,10,34,30,17,14,31
1862,10147,2010-12-15,01,15,19,21,23,11,12,23,15,01,19,21
1861,10148,2010-12-18,03,04,08,10,35,02,06,03,10,08,35,04
1860,10149,2010-12-20,05,22,24,25,30,01,06,24,25,05,30,22
1859,10150,2010-12-22,05,24,28,29,35,01,09,05,29,35,28,24
1858,10151,2010-12-25,01,10,32,33,35,03,08,01,10,32,33,35
1857,10152,2010-12-27,02,05,18,22,23,07,12,22,05,18,23,02
1856,10153,2010-12-29,06,07,16,24,35,04,06,24,35,06,16,07
1855,11001,2011-01-01,07,08,15,32,34,05,12,15,34,32,08,07
1854,11002,2011-01-03,11,13,27,28,29,02,06,29,28,11,27,13
1853,11003,2011-01-05,01,24,27,30,31,01,06,31,24,27,30,01
1852,11004,2011-01-08,07,08,10,23,25,07,09,07,08,23,25,10
1851,11005,2011-01-10,01,07,25,27,30,07,12,30,27,25,01,07
1850,11006,2011-01-12,02,08,16,26,35,11,12,26,16,35,02,08
1849,11007,2011-01-15,14,24,32,33,35,02,09,32,24,33,14,35
1848,11008,2011-01-17,01,23,26,27,30,05,06,01,30,26,23,27
1847,11009,2011-01-19,09,10,11,14,24,03,08,10,14,11,09,24
1846,11010,2011-01-22,04,08,10,14,27,05,07,04,14,08,27,10
1845,11011,2011-01-24,02,17,23,24,30,02,09,02,24,30,23,17
1844,11012,2011-01-26,03,12,19,25,30,08,11,19,03,12,30,25
1843,11013,2011-01-29,05,08,14,28,30,04,06,14,05,08,28,30
1842,11014,2011-01-31,02,14,20,21,24,02,09,14,20,02,24,21
1841,11015,2011-02-09,08,18,19,22,23,01,03,18,22,23,08,19
1840,11016,2011-02-12,15,20,30,33,35,06,09,20,33,15,35,30
1839,11017,2011-02-14,16,19,24,26,31,02,04,16,31,26,24,19
1838,11018,2011-02-16,16,22,24,32,34,02,10,34,16,24,32,22
1837,11019,2011-02-19,08,21,23,27,33,06,11,27,33,23,08,21
1836,11020,2011-02-21,09,12,19,22,28,01,05,22,12,19,28,09
1835,11021,2011-02-23,01,09,13,17,30,02,08,17,09,01,13,30
1834,11022,2011-02-26,09,14,24,25,34,01,04,34,25,24,14,09
1833,11023,2011-02-28,05,13,16,18,24,02,12,05,16,24,18,13
1832,11024,2011-03-02,12,15,16,20,33,08,12,33,16,20,12,15
1831,11025,2011-03-05,08,09,25,28,29,02,10,25,08,09,29,28
1830,11026,2011-03-07,01,09,15,20,29,07,09,20,29,15,09,01
1829,11027,2011-03-09,05,14,25,34,35,02,05,25,34,35,14,05
1828,11028,2011-03-12,01,02,13,17,28,01,04,01,02,17,28,13
1827,11029,2011-03-14,03,09,17,24,28,06,12,28,24,03,17,09
1826,11030,2011-03-16,15,19,25,30,33,03,08,19,33,15,25,30
1825,11031,2011-03-19,12,17,19,22,35,04,11,19,17,35,12,22
1824,11032,2011-03-21,07,16,23,31,33,03,10,16,31,33,07,23
1823,11033,2011-03-23,03,19,24,29,33,03,09,29,33,03,19,24
1822,11034,2011-03-26,03,06,09,17,27,03,09,09,03,27,17,06
1821,11035,2011-03-28,03,04,13,15,32,04,09,04,03,15,13,32
1820,11036,2011-03-30,03,18,29,30,33,08,09,30,18,33,03,29
1819,11037,2011-04-02,01,12,14,22,24,10,12,14,12,22,01,24
1818,11038,2011-04-04,07,09,11,13,33,10,12,09,33,13,11,07
1817,11039,2011-04-06,01,11,14,22,34,06,08,14,34,11,22,01
1816,11040,2011-04-09,03,07,15,18,20,01,06,07,18,20,15,03
1815,11041,2011-04-11,04,05,11,13,25,03,06,25,11,13,04,05
1814,11042,2011-04-13,06,09,18,30,32,10,12,06,30,09,18,32
1813,11043,2011-04-16,02,08,23,33,35,05,10,02,33,23,35,08
1812,11044,2011-04-18,11,21,24,26,31,06,07,21,11,26,24,31
1811,11045,2011-04-20,13,21,22,29,31,07,11,31,13,21,22,29
1810,11046,2011-04-23,09,15,16,19,29,04,06,29,16,19,15,09
1809,11047,2011-04-25,02,15,22,33,35,05,08,22,35,15,33,02
1808,11048,2011-04-27,13,17,25,27,28,02,03,28,27,17,25,13
1807,11049,2011-04-30,05,06,10,22,25,01,09,22,06,25,10,05
1806,11050,2011-05-02,04,07,29,32,33,08,10,33,04,29,32,07
1805,11051,2011-05-04,06,08,12,17,18,05,10,08,18,17,06,12
1804,11052,2011-05-07,13,24,31,32,33,03,09,32,13,24,31,33
1803,11053,2011-05-09,03,16,28,31,32,01,09,16,03,32,28,31
1802,11054,2011-05-11,05,09,16,26,35,03,10,26,35,16,09,05
1801,11055,2011-05-14,01,07,31,32,35,02,10,07,35,31,32,01
1800,11056,2011-05-16,03,05,29,30,31,08,10,05,03,31,29,30
1799,11057,2011-05-18,07,11,30,31,34,09,12,07,31,34,30,11
1798,11058,2011-05-21,01,09,27,32,33,03,06,01,33,32,09,27
1797,11059,2011-05-23,09,16,21,29,34,07,10,21,16,29,09,34
1796,11060,2011-05-25,03,25,29,32,34,09,10,25,03,34,32,29
1795,11061,2011-05-28,06,07,16,18,20,04,10,18,06,07,16,20
1794,11062,2011-05-30,06,10,17,20,21,03,07,10,20,06,21,17
1793,11063,2011-06-01,10,17,18,26,32,01,05,17,32,10,26,18
1792,11064,2011-06-04,01,06,27,30,34,01,06,27,30,01,34,06
1791,11065,2011-06-06,03,11,14,25,34,01,04,11,14,03,25,34
1790,11066,2011-06-08,06,13,18,20,33,09,10,18,13,33,20,06
1789,11067,2011-06-11,10,17,22,24,32,03,10,17,24,10,22,32
1788,11068,2011-06-13,01,13,16,18,32,07,09,18,01,16,13,32
1787,11069,2011-06-15,03,05,28,29,33,04,12,28,05,29,33,03
1786,11070,2011-06-18,09,19,22,29,30,02,08,19,30,22,29,09
1785,11071,2011-06-20,27,31,33,34,35,04,06,35,27,31,34,33
1784,11072,2011-06-22,03,11,13,20,35,03,08,11,20,35,13,03
1783,11073,2011-06-25,13,19,20,22,33,05,11,33,13,20,22,19
1782,11074,2011-06-27,07,16,23,28,31,03,06,16,07,28,23,31
1781,11075,2011-06-29,06,09,20,23,28,06,10,09,28,23,06,20
1780,11076,2011-07-02,18,23,25,29,30,01,02,30,29,18,23,25
1779,11077,2011-07-04,05,08,19,33,34,01,12,33,19,05,34,08
1778,11078,2011-07-06,04,09,16,27,30,02,06,16,30,09,04,27
1777,11079,2011-07-09,01,03,23,30,31,02,10,30,31,23,01,03
1776,11080,2011-07-11,05,12,30,31,32,01,03,30,12,31,32,05
1775,11081,2011-07-13,04,13,20,21,35,02,09,04,20,13,35,21
1774,11082,2011-07-16,07,20,25,30,32,05,09,07,32,30,20,25
1773,11083,2011-07-18,06,08,18,20,24,04,08,20,18,24,06,08
1772,11084,2011-07-20,14,29,31,34,35,01,12,35,31,29,14,34
1771,11085,2011-07-23,02,17,19,21,22,03,10,19,02,21,22,17
1770,11086,2011-07-25,04,05,06,09,15,01,06,15,06,04,05,09
1769,11087,2011-07-27,06,13,20,25,34,07,09,34,06,25,20,13
1768,11088,2011-07-30,20,21,27,29,35,03,08,21,20,27,35,29
1767,11089,2011-08-01,05,06,23,27,34,03,04,05,27,34,23,06
1766,11090,2011-08-03,02,04,29,30,34,05,08,29,30,34,02,04
1765,11091,2011-08-06,11,17,23,29,30,06,08,29,30,11,17,23
1764,11092,2011-08-08,10,17,19,32,33,01,12,32,19,33,10,17
1763,11093,2011-08-10,04,06,08,19,31,10,11,31,19,08,04,06
1762,11094,2011-08-13,11,21,22,32,34,04,08,21,11,22,34,32
1761,11095,2011-08-15,09,12,17,19,29,06,11,12,29,19,09,17
1760,11096,2011-08-17,03,08,20,24,25,01,02,08,25,24,03,20
1759,11097,2011-08-20,04,19,28,31,33,11,12,31,28,33,04,19
1758,11098,2011-08-22,06,07,28,33,35,01,10,28,35,33,06,07
1757,11099,2011-08-24,02,06,09,12,20,05,08,06,09,12,20,02
1756,11100,2011-08-27,08,11,13,28,33,08,09,28,08,33,11,13
1755,11101,2011-08-29,05,12,20,28,30,03,07,28,30,20,12,05
1754,11102,2011-08-31,19,24,28,31,34,04,12,34,19,31,28,24
1753,11103,2011-09-03,03,04,26,29,34,01,03,29,34,26,04,03
1752,11104,2011-09-05,07,19,27,28,34,02,05,07,28,27,34,19
1751,11105,2011-09-07,02,11,26,32,33,05,12,32,33,26,11,02
1750,11106,2011-09-10,01,09,29,30,35,05,09,01,09,30,29,35
1749,11107,2011-09-12,02,06,18,30,32,01,08,30,18,06,32,02
1748,11108,2011-09-14,07,15,18,24,28,01,07,28,24,18,07,15
1747,11109,2011-09-17,01,11,12,22,34,08,10,34,01,22,12,11
1746,11110,2011-09-19,30,31,33,34,35,04,07,35,31,34,33,30
1745,11111,2011-09-21,02,11,13,23,31,11,12,11,31,02,23,13
1744,11112,2011-09-24,06,17,28,32,33,08,12,28,06,17,32,33
1743,11113,2011-09-26,04,05,07,10,12,04,05,05,07,12,10,04
1742,11114,2011-09-28,06,08,17,27,35,02,11,27,17,35,06,08
1741,11115,2011-10-01,17,26,30,31,35,06,11,17,31,35,30,26
1740,11116,2011-10-03,10,15,18,19,26,07,12,26,18,10,19,15
1739,11117,2011-10-05,10,12,28,32,33,03,05,10,28,33,32,12
1738,11118,2011-10-08,04,07,11,32,35,05,07,32,07,35,11,04
1737,11119,2011-10-10,04,15,20,26,31,06,12,26,31,04,20,15
1736,11120,2011-10-12,20,25,26,30,31,09,10,20,31,26,30,25
1735,11121,2011-10-15,02,03,30,31,33,03,09,03,02,31,33,30
1734,11122,2011-10-17,03,08,23,24,34,05,12,08,34,23,03,24
1733,11123,2011-10-19,10,14,18,19,35,01,06,35,14,18,10,19
1732,11124,2011-10-22,08,12,14,20,25,06,08,08,25,12,20,14
1731,11125,2011-10-24,07,10,27,34,35,10,12,34,35,10,27,07
1730,11126,2011-10-26,07,17,29,30,33,10,12,07,29,33,17,30
1729,11127,2011-10-29,01,11,22,26,29,05,08,29,11,01,22,26
1728,11128,2011-10-31,03,04,06,11,13,01,02,06,11,04,03,13
1727,11129,2011-11-02,01,07,13,18,23,04,08,13,01,23,07,18
1726,11130,2011-11-05,08,09,13,23,35,11,12,09,08,23,13,35
1725,11131,2011-11-07,03,05,12,18,33,07,11,05,33,12,03,18
1724,11132,2011-11-09,12,14,16,19,33,02,09,33,16,12,14,19
1723,11133,2011-11-12,04,11,23,26,35,03,12,04,23,35,26,11
1722,11134,2011-11-14,01,10,12,14,17,09,10,12,14,17,10,01
1721,11135,2011-11-16,06,22,29,33,35,03,12,22,06,35,29,33
1720,11136,2011-11-19,08,09,11,19,33,03,12,33,11,19,09,08
1719,11137,2011-11-21,02,15,18,23,31,01,02,23,18,02,15,31
1718,11138,2011-11-23,17,23,26,30,32,06,12,17,32,26,30,23
1717,11139,2011-11-26,04,06,10,15,16,03,04,04,16,10,15,06
1716,11140,2011-11-28,01,12,32,33,34,09,11,33,12,32,01,34
1715,11141,2011-11-30,02,11,19,22,35,10,12,35,22,11,02,19
1714,11142,2011-12-03,04,26,30,33,34,04,06,30,26,33,04,34
1713,11143,2011-12-05,08,09,12,25,33,07,10,08,25,09,33,12
1712,11144,2011-12-07,07,18,24,28,33,02,03,28,18,07,33,24
1711,11145,2011-12-10,07,15,19,24,29,04,06,07,24,15,29,19
1710,11146,2011-12-12,09,13,19,29,34,02,11,19,29,13,34,09
1709,11147,2011-12-14,01,15,16,27,28,02,07,27,16,01,15,28
1708,11148,2011-12-17,07,10,11,26,31,03,04,11,10,26,07,31
1707,11149,2011-12-19,02,07,12,29,31,03,05,31,07,02,12,29
1706,11150,2011-12-21,13,22,30,33,34,06,12,33,34,13,30,22
1705,11151,2011-12-24,07,11,14,20,27,03,10,27,20,14,11,07
1704,11152,2011-12-26,01,04,06,21,35,02,11,21,06,01,04,35
1703,11153,2011-12-28,06,22,29,30,35,03,05,06,29,22,30,35
1702,11154,2011-12-31,04,12,16,20,28,08,11,16,28,12,04,20
1701,12001,2012-01-02,07,27,28,32,33,01,12,33,32,27,07,28
1700,12002,2012-01-04,03,11,14,26,29,07,08,03,11,14,29,26
1699,12003,2012-01-07,16,22,24,33,34,03,10,22,24,33,34,16
1698,12004,2012-01-09,10,11,22,31,32,06,07,10,32,31,11,22
1697,12005,2012-01-11,01,02,29,31,33,07,12,01,02,31,33,29
1696,12006,2012-01-14,03,20,22,25,27,01,09,27,20,25,03,22
1695,12007,2012-01-16,04,05,13,17,25,07,10,25,13,04,17,05
1694,12008,2012-01-18,06,08,30,31,32,01,11,31,06,08,32,30
1693,12009,2012-01-21,06,14,20,29,35,09,10,35,20,29,14,06
1692,12010,2012-01-30,25,26,29,32,34,05,07,32,29,26,25,34
1691,12011,2012-02-01,05,19,22,29,30,02,04,30,29,05,19,22
1690,12012,2012-02-04,06,18,22,30,35,02,07,30,35,06,18,22
1689,12013,2012-02-06,07,08,11,12,24,01,02,07,11,24,12,08
1688,12014,2012-02-08,10,14,24,30,32,01,12,24,14,10,32,30
1687,12015,2012-02-11,12,13,24,26,33,06,08,24,33,13,12,26
1686,12016,2012-02-13,05,14,20,29,31,08,12,29,20,05,31,14
1685,12017,2012-02-15,06,11,22,29,34,03,12,34,06,29,22,11
1684,12018,2012-02-18,03,10,14,29,31,04,08,03,31,10,29,14
1683,12019,2012-02-20,07,09,17,30,34,01,12,30,09,34,07,17
1682,12020,2012-02-22,12,14,27,29,34,03,06,12,14,29,34,27
1681,12021,2012-02-25,10,15,21,31,34,07,08,15,34,31,10,21
1680,12022,2012-02-27,07,12,20,33,35,01,10,35,12,20,33,07
1679,12023,2012-02-29,07,09,17,29,35,09,10,29,07,17,09,35
1678,12024,2012-03-03,03,11,17,21,30,03,07,03,17,21,30,11
1677,12025,2012-03-05,01,02,05,12,27,04,07,01,05,12,02,27
1676,12026,2012-03-07,10,11,22,23,29,02,09,29,22,23,11,10
1675,12027,2012-03-10,03,10,11,22,31,05,07,22,31,10,11,03
1674,12028,2012-03-12,10,12,15,33,34,03,10,12,10,15,33,34
1673,12029,2012-03-14,04,07,08,18,29,07,10,07,04,08,29,18
1672,12030,2012-03-17,03,21,22,26,32,01,03,26,22,03,21,32
1671,12031,2012-03-19,19,21,23,25,30,03,08,25,19,23,30,21
1670,12032,2012-03-21,07,08,16,26,34,07,11,07,26,16,34,08
1669,12033,2012-03-24,08,13,19,27,32,01,08,13,27,19,32,08
1668,12034,2012-03-26,01,08,15,16,29,08,09,01,16,29,15,08
1667,12035,2012-03-28,01,04,30,32,35,08,12,01,35,32,30,04
1666,12036,2012-03-31,01,09,20,30,31,08,12,09,30,01,31,20
1665,12037,2012-04-02,09,13,27,31,35,03,10,35,09,31,27,13
1664,12038,2012-04-04,11,23,25,31,35,01,03,31,23,11,25,35
1663,12039,2012-04-07,15,21,22,24,35,01,05,21,24,35,15,22
1662,12040,2012-04-09,02,13,23,28,29,01,05,02,13,23,28,29
1661,12041,2012-04-11,01,02,13,22,23,02,10,13,01,02,23,22
1660,12042,2012-04-14,07,24,27,28,35,07,12,27,07,24,28,35
1659,12043,2012-04-16,01,06,25,31,34,03,09,34,31,06,01,25
1658,12044,2012-04-18,03,04,14,32,35,01,02,32,14,03,04,35
1657,12045,2012-04-21,05,11,17,20,28,11,12,11,28,20,17,05
1656,12046,2012-04-23,04,08,19,23,27,04,11,08,04,19,27,23
1655,12047,2012-04-25,05,07,17,30,34,03,10,05,17,34,30,07
1654,12048,2012-04-28,06,09,26,30,35,05,06,09,35,06,30,26
1653,12049,2012-04-30,09,18,22,27,31,10,12,18,31,22,27,09
1652,12050,2012-05-02,13,17,22,28,29,01,10,29,13,17,22,28
1651,12051,2012-05-05,01,02,17,18,33,05,12,17,33,02,01,18
1650,12052,2012-05-07,10,20,26,31,33,10,12,26,20,10,33,31
1649,12053,2012-05-09,11,12,26,28,31,07,12,12,11,31,26,28
1648,12054,2012-05-12,01,16,18,27,30,10,11,30,27,18,16,01
1647,12055,2012-05-14,07,22,26,32,33,01,08,26,22,32,07,33
1646,12056,2012-05-16,11,21,23,26,34,07,09,23,26,21,34,11
1645,12057,2012-05-19,01,02,14,33,34,03,05,02,01,34,14,33
1644,12058,2012-05-21,13,21,29,31,35,04,12,13,21,31,29,35
1643,12059,2012-05-23,09,13,19,21,27,03,04,09,19,27,21,13
1642,12060,2012-05-26,02,16,21,24,30,06,10,21,16,02,24,30
1641,12061,2012-05-28,05,10,14,27,33,07,09,27,33,05,10,14
1640,12062,2012-05-30,21,32,33,34,35,08,09,32,35,21,33,34
1639,12063,2012-06-02,11,25,26,29,35,01,02,35,26,29,11,25
