,期数,开奖日期,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球_1,红球_1 顺序,红球_2 顺序,红球_3 顺序,红球_4 顺序,红球_5 顺序,红球_6 顺序
2847,04052,2004-07-04,01,12,14,15,17,29,09,15,29,17,01,14,12
2846,04053,2004-07-08,02,03,04,09,24,25,02,25,04,02,09,24,03
2845,04054,2004-07-11,09,11,14,16,27,28,11,09,28,11,16,14,27
2844,04055,2004-07-15,06,08,19,25,29,32,07,32,25,08,19,06,29
2843,04056,2004-07-18,01,20,21,25,29,30,02,20,01,30,29,25,21
2842,04057,2004-07-22,05,21,23,25,28,32,04,25,23,28,05,32,21
2841,04058,2004-07-25,01,08,11,12,27,31,12,12,27,01,08,31,11
2840,04059,2004-07-29,04,07,11,19,23,26,10,11,23,04,26,07,19
2839,04060,2004-08-01,03,05,11,24,27,28,15,27,24,28,11,03,05
2838,04061,2004-08-05,13,16,19,20,23,33,09,16,23,19,13,33,20
2837,04062,2004-08-08,01,12,25,27,28,29,13,01,27,25,28,29,12
2836,04063,2004-08-12,07,10,13,16,27,28,07,16,07,28,13,10,27
2835,04064,2004-08-15,14,15,18,20,27,31,04,18,14,15,31,20,27
2834,04065,2004-08-19,13,14,27,29,32,33,08,13,14,32,29,33,27
2833,04066,2004-08-22,05,13,20,23,24,25,03,23,24,25,13,05,20
2832,04067,2004-08-24,01,06,07,13,16,32,04,06,01,13,32,16,07
2831,04068,2004-08-26,02,08,11,13,24,31,15,31,11,24,02,13,08
2830,04069,2004-08-29,02,11,15,20,22,29,05,02,20,29,22,11,15
2829,04070,2004-08-31,10,12,21,22,30,33,06,21,33,30,10,22,12
2828,04071,2004-09-02,03,08,16,17,21,29,06,21,03,08,16,17,29
2827,04072,2004-09-05,08,15,18,28,30,33,14,33,30,15,28,08,18
2826,04073,2004-09-07,02,07,13,16,23,28,16,16,07,23,28,02,13
2825,04074,2004-09-09,05,06,15,19,26,29,13,19,26,06,15,05,29
2824,04075,2004-09-12,07,18,21,26,27,28,07,27,07,21,18,26,28
2823,04076,2004-09-14,03,05,13,17,25,31,07,17,13,03,25,05,31
2822,04077,2004-09-16,08,09,10,14,16,26,07,08,10,09,26,14,16
2821,04078,2004-09-19,04,05,10,21,24,26,05,04,24,21,26,10,05
2820,04079,2004-09-21,07,13,14,17,19,30,03,13,30,07,14,19,17
2819,04080,2004-09-23,03,08,20,23,24,26,16,20,26,24,03,23,08
2818,04081,2004-09-26,03,05,21,24,27,32,06,03,24,05,32,21,27
2817,04082,2004-09-28,03,20,24,27,29,30,15,24,20,29,03,30,27
2816,04083,2004-09-30,14,16,27,28,30,33,06,16,33,28,14,30,27
2815,04084,2004-10-03,01,04,08,11,21,25,14,21,08,04,25,01,11
2814,04085,2004-10-05,03,08,11,29,30,32,01,29,11,08,32,03,30
2813,04086,2004-10-07,10,13,18,19,25,27,01,19,10,27,25,13,18
2812,04087,2004-10-10,01,03,07,08,25,26,14,26,08,25,03,01,07
2811,04088,2004-10-12,02,10,19,22,24,32,14,19,10,22,02,24,32
2810,04089,2004-10-14,14,17,20,25,28,30,14,14,25,17,28,30,20
2809,04090,2004-10-17,01,18,20,24,32,33,12,01,24,20,32,18,33
2808,04091,2004-10-19,09,13,14,21,30,33,01,33,13,14,30,21,09
2807,04092,2004-10-21,01,04,08,13,28,31,02,28,08,01,31,13,04
2806,04093,2004-10-24,11,14,20,27,32,33,05,11,33,32,14,27,20
2805,04094,2004-10-26,05,09,10,13,24,25,08,09,05,10,24,25,13
2804,04095,2004-10-28,19,22,27,28,30,32,01,22,19,28,32,30,27
2803,04096,2004-10-31,01,04,12,16,20,30,15,16,30,04,12,01,20
2802,04097,2004-11-02,10,19,20,26,29,31,14,26,31,10,29,20,19
2801,04098,2004-11-04,03,12,13,25,26,31,03,13,12,26,25,03,31
2800,04099,2004-11-07,05,10,21,22,26,33,02,10,22,05,33,26,21
2799,04100,2004-11-09,06,08,09,14,24,33,15,08,14,33,06,09,24
2798,04101,2004-11-11,02,09,14,19,25,26,15,26,02,25,09,14,19
2797,04102,2004-11-14,03,09,12,15,28,32,01,32,12,09,28,03,15
2796,04103,2004-11-16,02,03,05,09,16,21,02,05,02,09,21,16,03
2795,04104,2004-11-18,07,11,17,18,24,29,05,17,18,11,29,24,07
2794,04105,2004-11-21,07,09,10,21,23,30,12,09,21,07,23,10,30
2793,04106,2004-11-23,10,15,23,26,28,29,12,26,23,15,29,28,10
2792,04107,2004-11-25,01,08,12,13,18,20,07,20,18,01,08,13,12
2791,04108,2004-11-28,08,13,14,27,28,31,12,27,14,28,31,08,13
2790,04109,2004-11-30,06,08,10,17,30,31,14,17,08,10,06,31,30
2789,04110,2004-12-02,14,19,20,21,22,31,11,19,14,20,21,31,22
2788,04111,2004-12-05,11,16,18,20,26,31,02,31,26,18,20,16,11
2787,04112,2004-12-07,09,13,15,21,26,33,06,21,15,09,13,33,26
2786,04113,2004-12-10,08,10,23,25,31,32,07,08,32,10,25,31,23
2785,04114,2004-12-13,01,06,09,17,21,22,01,09,06,22,01,17,21
2784,04115,2004-12-14,02,16,20,30,31,33,01,20,33,16,30,02,31
2783,04116,2004-12-16,01,03,05,08,14,33,03,14,33,03,01,05,08
2782,04117,2004-12-19,01,03,07,14,24,25,07,25,03,14,24,07,01
2781,04118,2004-12-21,03,04,07,12,30,31,15,12,07,30,03,04,31
2780,04119,2004-12-23,06,09,18,20,25,33,06,20,25,06,18,09,33
2779,04120,2004-12-26,07,08,18,21,27,32,10,07,27,08,21,32,18
2778,04121,2004-12-28,07,13,16,18,30,32,10,32,30,18,07,13,16
2777,04122,2004-12-30,03,11,14,22,24,31,15,31,14,11,22,03,24
2776,05001,2005-01-02,01,07,08,23,27,28,14,08,27,28,23,01,07
2775,05002,2005-01-04,06,09,20,26,28,33,14,09,26,28,33,20,06
2774,05003,2005-01-06,09,12,15,19,22,31,16,22,12,19,31,15,09
2773,05004,2005-01-09,01,04,08,09,22,23,03,08,09,01,22,23,04
2772,05005,2005-01-11,05,09,20,26,28,33,15,28,09,20,26,33,05
2771,05006,2005-01-13,02,04,05,15,21,31,16,31,05,02,21,04,15
2770,05007,2005-01-16,07,15,17,20,23,33,15,33,07,20,17,15,23
2769,05008,2005-01-18,11,19,22,27,32,33,11,33,32,11,22,27,19
2768,05009,2005-01-20,02,17,22,27,29,31,14,31,02,29,22,17,27
2767,05010,2005-01-23,08,10,11,18,25,26,01,18,08,11,26,25,10
2766,05011,2005-01-25,09,11,13,15,22,30,15,09,13,15,30,11,22
2765,05012,2005-01-27,02,03,06,16,22,31,05,06,02,22,16,31,03
2764,05013,2005-01-30,07,08,16,19,20,24,06,20,07,24,19,08,16
2763,05014,2005-02-01,13,19,21,23,30,32,05,32,21,19,30,13,23
2762,05015,2005-02-03,04,08,09,16,17,29,15,04,09,08,16,29,17
2761,05016,2005-02-06,01,05,06,12,16,30,15,12,01,30,06,16,05
2760,05017,2005-02-16,02,06,10,25,27,31,03,25,10,31,27,02,06
2759,05018,2005-02-17,01,03,06,22,23,25,06,23,25,22,01,06,03
2758,05019,2005-02-20,06,11,12,13,19,22,08,12,06,11,19,13,22
2757,05020,2005-02-22,14,16,19,20,25,29,05,20,25,19,29,14,16
2756,05021,2005-02-24,02,06,24,26,30,31,16,31,24,26,30,06,02
2755,05022,2005-02-27,08,10,12,21,32,33,04,10,32,08,33,12,21
2754,05023,2005-03-01,10,15,19,20,21,25,12,19,20,21,10,25,15
2753,05024,2005-03-03,05,09,14,27,31,32,13,09,27,14,05,31,32
2752,05025,2005-03-06,01,07,10,11,13,32,07,32,07,13,10,11,01
2751,05026,2005-03-08,06,12,14,20,25,26,07,06,26,14,25,12,20
2750,05027,2005-03-10,01,03,04,06,21,32,15,03,01,32,06,21,04
2749,05028,2005-03-13,04,09,22,25,26,32,10,09,26,25,32,22,04
2748,05029,2005-03-15,02,14,21,22,27,30,14,02,14,21,22,30,27
