,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球_1,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
622,07105,02,07,10,17,23,29,14,88,14.67,28,4,2,2,2,0,3,3,0,5,9,0,0,27,7,1,1,1
623,07106,12,18,21,24,25,29,08,129,21.50,29,3,3,0,1,1,5,1,4,6,7,1,1,17,6,1,1,2
624,07107,02,08,09,18,24,28,10,89,14.83,39,1,5,-4,0,3,3,3,0,4,7,1,1,26,9,0,2,2
625,07108,03,07,12,13,20,33,02,88,14.67,18,4,2,2,1,0,2,4,-2,4,9,1,1,30,13,0,0,2
626,07109,01,04,07,08,13,14,04,47,7.83,27,3,3,0,0,0,0,6,-6,5,5,2,2,13,5,0,2,4
627,07110,02,04,07,15,24,28,03,80,13.33,30,2,4,-2,1,2,2,4,-2,5,9,0,0,26,9,2,2,3
628,07111,02,09,10,12,13,17,11,63,10.50,23,3,3,0,1,1,1,5,-4,5,5,2,2,15,7,1,1,0
629,07112,07,11,14,16,25,32,11,105,17.50,25,3,3,0,1,1,2,4,-2,6,7,0,0,25,9,0,0,3
630,07113,04,18,23,25,26,31,10,127,21.17,27,3,3,0,1,1,5,1,4,6,8,1,1,27,14,0,1,2
631,07114,05,12,15,24,27,33,05,116,19.33,26,4,2,2,1,0,3,3,0,5,7,0,0,28,9,0,0,3
632,07115,01,05,10,16,20,26,02,78,13.00,18,2,4,-2,1,3,2,4,-2,4,6,0,0,25,6,0,1,2
633,07116,03,05,07,11,17,27,13,70,11.67,30,6,0,6,5,0,2,4,-2,4,6,0,0,24,10,1,1,3
634,07117,03,07,09,10,26,32,01,87,14.50,27,3,3,0,2,2,2,4,-2,6,8,1,1,29,16,1,2,2
635,07118,04,10,16,18,25,32,15,105,17.50,25,1,5,-4,0,3,3,3,0,6,7,0,0,28,7,1,2,3
636,07119,03,08,11,13,25,31,12,91,15.17,21,5,1,4,3,0,2,4,-2,4,9,0,0,28,12,1,1,3
637,07120,06,07,11,12,18,25,01,79,13.17,29,3,3,0,1,1,2,4,-2,6,6,2,2,19,7,1,2,2
638,07121,03,10,21,22,27,28,06,111,18.50,21,3,3,0,0,0,4,2,2,6,6,2,2,25,11,0,0,1
639,07122,04,07,19,24,26,32,09,112,18.67,32,2,4,-2,1,2,4,2,2,5,10,0,0,28,12,0,0,2
640,07123,01,13,15,23,28,32,02,112,18.67,22,4,2,2,3,1,3,3,0,5,10,0,0,31,12,1,1,1
641,07124,03,07,13,16,19,32,16,90,15.00,30,4,2,2,2,0,2,4,-2,5,6,0,0,29,13,1,2,1
642,07125,03,05,18,20,27,33,01,106,17.67,26,4,2,2,2,1,4,2,2,5,6,0,0,30,13,1,1,3
643,07126,09,10,19,23,26,31,09,118,19.67,28,4,2,2,1,0,4,2,2,5,10,1,1,22,9,0,0,2
644,07127,06,09,13,16,24,28,11,96,16.00,36,2,4,-2,1,2,2,4,-2,5,6,0,0,22,8,0,1,2
645,07128,09,10,19,21,27,31,05,117,19.50,27,5,1,4,3,0,4,2,2,4,8,1,1,22,9,0,1,2
646,07129,05,07,20,21,22,30,08,105,17.50,15,3,3,0,1,1,4,2,2,5,7,2,1,25,13,1,1,3
647,07130,03,05,09,11,27,31,04,86,14.33,26,6,0,6,5,0,2,4,-2,5,6,0,0,28,16,0,1,1
648,07131,03,05,07,16,22,27,05,80,13.33,30,4,2,2,2,1,2,4,-2,5,8,0,0,24,9,2,3,0
649,07132,01,09,16,21,22,23,05,92,15.33,22,4,2,2,1,0,3,3,0,5,8,2,1,22,8,1,2,2
650,07133,03,06,07,11,13,33,10,73,12.17,23,5,1,4,3,0,1,5,-4,4,9,1,1,30,20,0,0,0
651,07134,01,04,10,13,18,25,15,71,11.83,21,3,3,0,0,1,2,4,-2,6,7,0,0,24,7,0,1,2
652,07135,01,11,16,26,31,33,16,118,19.67,18,4,2,2,2,1,3,3,0,3,6,0,0,32,10,1,1,2
653,07136,01,02,18,21,25,29,14,96,16.00,26,4,2,2,2,1,4,2,2,5,9,1,1,28,16,1,1,2
654,07137,03,07,08,18,20,22,03,78,13.00,28,2,4,-2,1,3,3,3,0,5,7,1,1,19,10,0,1,3
655,07138,02,03,15,17,19,25,16,81,13.50,31,5,1,4,4,0,3,3,0,5,9,1,1,23,12,0,1,3
656,07139,06,10,12,14,16,22,06,80,13.33,20,0,6,-6,0,5,1,5,-4,4,2,0,0,16,6,0,0,2
657,07140,01,05,16,21,22,26,11,91,15.17,21,3,3,0,1,1,3,3,0,4,7,1,1,25,11,0,2,2
658,07141,02,03,04,06,17,31,08,63,10.50,23,3,3,0,1,1,2,4,-2,6,7,2,1,29,14,0,0,4
659,07142,11,20,25,26,27,30,08,139,23.17,19,3,3,0,0,0,5,1,4,5,8,2,1,19,9,0,0,1
660,07143,01,06,22,23,24,26,04,102,17.00,22,2,4,-2,0,2,4,2,2,5,8,2,1,25,16,0,1,2
661,07144,08,14,23,25,28,32,16,130,21.67,30,2,4,-2,1,2,4,2,2,5,9,0,0,24,9,0,1,2
662,07145,08,09,11,12,25,31,11,96,16.00,26,4,2,2,2,0,2,4,-2,5,8,2,2,23,13,1,2,2
663,07146,04,18,22,24,26,30,09,124,20.67,24,0,6,-6,0,5,5,1,4,5,5,0,0,26,14,0,0,3
664,07147,03,07,18,24,26,27,04,105,17.50,35,3,3,0,1,2,4,2,2,5,10,1,1,24,11,2,3,2
665,07148,03,09,16,17,23,28,07,96,16.00,36,4,2,2,2,0,3,3,0,5,7,1,1,25,7,1,1,3
666,07149,01,17,19,22,28,30,03,117,19.50,27,3,3,0,2,2,5,1,4,6,8,0,0,29,16,0,2,2
667,07150,03,05,11,13,19,24,05,75,12.50,25,5,1,4,4,0,2,4,-2,5,6,0,0,21,6,0,1,0
668,07151,01,06,10,11,23,25,02,76,12.67,16,4,2,2,2,1,2,4,-2,5,9,1,1,24,12,0,1,4
669,07152,11,17,21,29,30,33,08,141,23.50,21,5,1,4,3,0,5,1,4,5,8,1,1,22,8,0,1,1
670,07153,01,04,19,20,25,31,15,100,16.67,20,4,2,2,1,0,4,2,2,5,9,1,1,30,15,0,0,2
671,08001,02,04,07,09,14,29,03,65,10.83,35,3,3,0,1,1,1,5,-4,4,6,0,0,27,15,1,1,1
672,08002,03,04,18,22,25,29,09,101,16.83,31,3,3,0,1,2,4,2,2,6,8,1,1,26,14,2,2,1
673,08003,06,08,11,13,17,19,12,74,12.33,34,4,2,2,3,1,2,4,-2,6,5,0,0,13,4,0,0,2
674,08004,04,08,22,23,27,29,08,113,18.83,33,3,3,0,2,2,4,2,2,6,8,1,1,25,14,1,1,0
675,08005,03,05,15,22,24,25,15,94,15.67,24,4,2,2,2,1,3,3,0,4,7,1,1,22,10,0,1,4
676,08006,01,14,16,18,22,27,14,98,16.33,28,2,4,-2,0,3,3,3,0,6,7,0,0,26,13,0,1,2
677,08007,01,13,17,22,23,30,11,106,17.67,16,4,2,2,2,0,4,2,2,5,10,1,1,29,12,1,2,3
678,08008,02,15,16,23,26,27,07,109,18.17,29,3,3,0,0,0,3,3,0,5,8,2,2,25,13,0,1,3
679,08009,09,21,29,30,31,32,16,152,25.33,22,4,2,2,2,0,5,1,4,4,7,3,1,23,12,0,0,0
680,08010,03,08,11,17,21,27,09,87,14.50,27,5,1,4,3,0,3,3,0,4,8,0,0,24,6,0,1,1
681,08011,02,14,17,21,30,32,03,116,19.33,16,2,4,-2,1,2,4,2,2,5,9,0,0,30,12,0,2,1
682,08012,03,04,05,16,20,30,13,78,13.00,18,2,4,-2,0,2,2,4,-2,5,9,2,1,27,11,0,1,3
683,08013,02,08,15,16,22,28,10,91,15.17,31,1,5,-4,0,3,2,4,-2,4,4,1,1,26,7,1,1,2
684,08014,03,09,11,17,21,31,14,92,15.33,22,6,0,6,5,0,3,3,0,4,6,0,0,28,10,0,0,4
685,08015,06,08,11,16,29,33,03,103,17.17,33,3,3,0,1,1,2,4,-2,5,9,0,0,27,13,1,1,2
686,08016,03,12,14,21,29,33,13,112,18.67,22,4,2,2,2,1,3,3,0,5,9,0,0,30,9,2,2,1
687,08017,02,05,07,17,20,22,02,73,12.17,23,3,3,0,2,1,3,3,0,4,5,0,0,20,10,0,0,3
688,08018,02,05,06,23,26,33,13,95,15.83,25,3,3,0,0,0,3,3,0,4,8,1,1,31,17,2,2,2
689,08019,02,09,11,17,27,31,05,97,16.17,27,5,1,4,4,0,3,3,0,4,10,0,0,29,10,1,1,1
690,08020,03,10,13,15,28,30,03,99,16.50,19,3,3,0,1,1,2,4,-2,4,8,0,0,27,13,0,0,4
691,08021,09,12,19,20,26,28,15,114,19.00,34,2,4,-2,0,2,4,2,2,5,8,1,1,19,7,0,1,2
692,08022,12,18,20,24,28,32,05,134,22.33,24,0,6,-6,0,5,5,1,4,4,4,0,0,20,6,0,3,2
693,08023,08,16,18,25,26,32,02,125,20.83,35,1,5,-4,0,3,4,2,2,4,7,1,1,24,8,1,2,1
694,08024,11,20,21,26,28,30,13,136,22.67,16,2,4,-2,0,2,5,1,4,4,7,1,1,19,9,0,1,1
695,08025,08,16,17,18,19,21,14,99,16.50,39,3,3,0,1,1,4,2,2,5,5,3,1,13,8,0,1,2
696,08026,05,17,19,27,29,32,03,129,21.50,39,5,1,4,4,0,5,1,4,4,7,0,0,27,12,0,2,2
697,08027,15,18,19,23,24,26,13,125,20.83,35,3,3,0,1,1,5,1,4,6,5,2,2,11,4,1,1,2
698,08028,01,13,21,26,29,32,10,122,20.33,22,4,2,2,2,0,4,2,2,5,8,0,0,31,12,0,1,0
699,08029,01,09,14,22,29,32,12,107,17.83,27,3,3,0,1,1,3,3,0,4,8,0,0,31,8,3,3,2
700,08030,06,15,18,19,20,28,11,106,17.67,36,2,4,-2,0,1,4,2,2,5,7,2,1,22,9,0,0,2
701,08031,03,06,11,15,21,31,13,87,14.50,17,5,1,4,3,0,2,4,-2,4,9,0,0,28,10,0,2,1
702,08032,05,14,16,21,23,28,13,107,17.83,27,3,3,0,1,1,3,3,0,6,5,0,0,23,9,0,1,3
703,08033,12,17,18,30,31,33,04,141,23.50,21,3,3,0,1,1,5,1,4,6,8,2,2,21,12,0,0,1
704,08034,03,05,09,11,21,29,09,78,13.00,28,6,0,6,5,0,2,4,-2,4,6,0,0,26,10,0,0,2
705,08035,07,11,14,17,18,29,16,96,16.00,36,4,2,2,1,0,3,3,0,5,6,1,1,22,11,1,2,0
706,08036,02,06,13,18,23,28,16,90,15.00,30,2,4,-2,0,1,3,3,0,4,7,0,0,26,7,0,1,4
707,08037,01,12,22,24,28,31,06,118,19.67,18,2,4,-2,0,3,4,2,2,4,10,0,0,30,11,0,1,4
708,08038,03,09,10,11,15,19,13,67,11.17,27,5,1,4,3,0,1,5,-4,5,6,2,1,16,6,0,0,1
709,08039,01,07,10,13,22,29,01,82,13.67,22,4,2,2,1,0,2,4,-2,6,6,0,0,28,9,1,1,1
710,08040,06,13,22,25,27,28,09,121,20.17,31,3,3,0,1,0,4,2,2,6,9,1,1,22,9,0,2,2
711,08041,08,11,20,22,23,27,04,111,18.50,21,3,3,0,1,1,4,2,2,6,8,1,1,19,9,0,2,2
712,08042,03,04,09,11,12,24,01,63,10.50,23,3,3,0,1,1,1,5,-4,5,8,2,2,21,12,0,1,3
713,08043,03,10,16,22,27,33,14,111,18.50,21,3,3,0,1,2,3,3,0,5,6,0,0,30,7,1,1,2
714,08044,05,07,09,20,26,29,09,96,16.00,36,4,2,2,2,1,3,3,0,5,9,0,0,24,11,0,0,2
715,08045,01,10,13,21,29,32,04,106,17.67,16,4,2,2,2,0,3,3,0,5,6,0,0,31,9,0,1,2
716,08046,15,16,18,24,28,33,15,134,22.33,34,2,4,-2,0,3,4,2,2,5,9,1,1,18,6,0,0,2
717,08047,09,12,13,14,20,22,10,90,15.00,20,2,4,-2,0,2,2,4,-2,5,7,2,1,13,6,0,0,1
718,08048,11,18,21,27,30,32,01,139,23.17,19,3,3,0,1,1,5,1,4,5,8,0,0,21,7,0,0,2
719,08049,03,10,12,13,19,25,04,82,13.67,22,4,2,2,2,1,2,4,-2,5,7,1,1,22,7,0,0,3
720,08050,01,11,19,24,26,27,03,108,18.00,28,4,2,2,2,1,4,2,2,5,9,1,1,26,10,0,1,3
721,08051,01,04,08,10,13,33,11,69,11.50,19,3,3,0,1,2,1,5,-4,5,8,0,0,32,20,1,1,1
722,08052,02,10,17,23,29,31,10,112,18.67,22,4,2,2,3,1,4,2,2,6,7,0,0,29,8,0,1,1
723,08053,06,12,19,20,21,27,04,105,17.50,25,3,3,0,1,1,4,2,2,6,5,2,1,21,7,0,0,0
724,08054,02,06,16,17,20,25,07,86,14.33,26,2,4,-2,0,2,3,3,0,5,8,1,1,23,10,0,2,1
725,08055,11,16,19,23,26,31,04,126,21.00,26,4,2,2,1,0,4,2,2,4,4,0,0,20,5,0,1,3
726,08056,08,13,22,23,25,30,07,121,20.17,21,3,3,0,1,0,4,2,2,5,8,1,1,22,9,1,1,3
727,08057,19,20,21,26,28,30,08,144,24.00,24,2,4,-2,0,2,6,0,6,5,5,2,1,11,5,1,1,2
728,08058,01,12,21,27,29,31,11,121,20.17,21,5,1,4,3,0,4,2,2,4,9,0,0,30,11,1,1,4
729,08059,02,06,15,29,31,32,16,115,19.17,25,3,3,0,2,1,3,3,0,5,10,1,1,30,14,0,2,2
730,08060,06,07,08,17,30,32,03,100,16.67,30,2,4,-2,0,1,3,3,0,5,7,2,1,26,13,1,2,3
731,08061,01,02,05,12,26,31,06,77,12.83,17,3,3,0,0,1,2,4,-2,4,10,1,1,30,14,0,0,2
732,08062,06,08,13,17,24,27,15,95,15.83,35,3,3,0,1,1,3,3,0,5,8,0,0,21,7,0,0,3
733,08063,05,09,11,14,16,17,15,72,12.00,32,4,2,2,2,1,1,5,-4,6,6,1,1,12,4,0,1,4
734,08064,01,02,07,09,12,18,12,49,8.17,29,3,3,0,1,1,1,5,-4,5,7,1,1,17,6,0,1,2
735,08065,05,13,15,19,30,31,05,113,18.83,23,5,1,4,3,0,3,3,0,5,10,1,1,26,11,0,0,2
736,08066,07,12,21,22,29,30,08,121,20.17,21,3,3,0,0,0,4,2,2,5,7,2,2,23,9,0,1,3
737,08067,10,11,15,19,26,33,13,114,19.00,24,4,2,2,2,0,3,3,0,6,8,1,1,23,7,0,0,1
738,08068,05,07,17,23,27,29,07,108,18.00,38,6,0,6,5,0,4,2,2,4,5,0,0,24,10,0,0,1
739,08069,05,08,17,20,26,30,10,106,17.67,26,2,4,-2,0,2,4,2,2,5,7,0,0,25,9,2,2,3
740,08070,05,06,12,15,18,33,13,89,14.83,29,3,3,0,0,1,2,4,-2,5,8,1,1,28,15,1,1,2
741,08071,01,06,21,26,27,28,09,109,18.17,29,3,3,0,0,0,4,2,2,4,7,2,1,27,15,1,1,1
742,08072,01,05,10,18,22,30,09,86,14.33,16,2,4,-2,1,3,3,3,0,5,6,0,0,29,8,1,1,2
743,08073,01,09,13,22,28,33,08,106,17.67,26,4,2,2,2,1,3,3,0,5,10,0,0,32,9,1,2,1
744,08074,01,11,15,19,20,24,09,90,15.00,20,4,2,2,3,1,3,3,0,5,6,1,1,23,10,1,1,0
745,08075,01,08,14,18,22,30,03,93,15.50,23,1,5,-4,0,4,3,3,0,5,8,0,0,29,8,1,1,2
746,08076,02,05,07,11,13,18,11,56,9.33,26,4,2,2,3,0,1,5,-4,6,6,0,0,16,5,0,1,3
747,08077,04,12,22,26,30,33,09,127,21.17,17,1,5,-4,0,4,4,2,2,5,7,0,0,29,10,0,0,2
748,08078,06,13,16,26,30,33,01,124,20.67,24,2,4,-2,0,2,3,3,0,3,5,0,0,27,10,3,3,1
749,08079,03,04,05,10,20,32,09,74,12.33,14,2,4,-2,0,2,2,4,-2,5,9,2,1,29,12,0,0,2
750,08080,04,14,22,25,29,32,14,126,21.00,26,2,4,-2,1,2,4,2,2,4,6,0,0,28,10,1,2,1
751,08081,02,12,13,18,25,31,04,101,16.83,21,3,3,0,1,1,3,3,0,5,8,1,1,29,10,0,1,2
752,08082,04,08,10,12,21,26,09,81,13.50,21,1,5,-4,0,3,2,4,-2,6,8,0,0,22,9,0,1,2
753,08083,07,08,09,18,29,32,09,103,17.17,43,3,3,0,0,0,3,3,0,4,8,2,1,25,11,1,1,2
754,08084,04,07,13,20,29,30,16,103,17.17,23,3,3,0,1,0,3,3,0,5,8,1,1,26,9,1,2,2
755,08085,01,04,12,20,24,29,15,90,15.00,20,2,4,-2,0,3,3,3,0,5,9,0,0,28,8,1,3,2
756,08086,04,05,10,26,27,30,12,102,17.00,22,2,4,-2,0,1,3,3,0,5,8,2,2,26,16,0,1,2
757,08087,01,07,26,29,30,31,06,124,20.67,24,4,2,2,1,0,4,2,2,5,9,2,1,30,19,0,2,3
758,08088,01,06,08,16,17,23,05,71,11.83,31,3,3,0,1,2,2,4,-2,5,8,1,1,22,8,1,1,2
759,08089,03,06,11,16,22,27,11,85,14.17,25,3,3,0,0,1,2,4,-2,5,6,0,0,24,6,2,2,2
760,08090,02,07,14,18,19,24,01,84,14.00,34,2,4,-2,0,1,3,3,0,5,6,1,1,22,7,0,0,2
761,08091,03,12,14,23,31,32,10,115,19.17,15,3,3,0,1,1,3,3,0,4,6,1,1,29,9,1,1,2
762,08092,01,03,18,27,28,30,05,107,17.83,27,3,3,0,1,1,4,2,2,5,8,1,1,29,15,0,1,1
763,08093,04,10,12,16,26,28,07,96,16.00,26,0,6,-6,0,5,2,4,-2,5,6,0,0,24,10,0,1,3
764,08094,01,04,15,16,23,28,14,87,14.50,27,3,3,0,0,0,2,4,-2,6,9,1,1,27,11,2,3,1
765,08095,03,08,14,21,28,29,03,103,17.17,33,3,3,0,0,1,3,3,0,5,9,1,1,26,7,0,1,3
766,08096,06,08,12,24,27,31,14,108,18.00,28,2,4,-2,1,3,3,3,0,6,8,0,0,25,12,1,1,1
767,08097,03,06,08,09,16,17,13,59,9.83,39,3,3,0,0,1,1,5,-4,5,7,2,2,14,7,0,2,1
768,08098,06,07,10,11,15,30,01,79,13.17,19,3,3,0,1,0,1,5,-4,5,6,2,2,24,15,0,1,3
769,08099,10,15,16,22,23,24,07,110,18.33,20,2,4,-2,0,1,3,3,0,6,5,3,2,14,6,0,2,2
770,08100,08,14,17,21,27,28,14,115,19.17,35,3,3,0,2,1,4,2,2,4,7,1,1,20,6,0,0,3
771,08101,09,17,21,26,28,30,04,131,21.83,31,3,3,0,2,2,5,1,4,6,7,0,0,21,8,0,3,3
772,08102,03,07,12,21,25,32,05,100,16.67,20,4,2,2,2,0,3,3,0,5,7,0,0,29,9,0,1,1
773,08103,01,12,16,18,22,33,04,102,17.00,22,2,4,-2,0,3,3,3,0,5,4,0,0,32,11,0,1,2
774,08104,03,06,08,17,24,31,01,89,14.83,29,3,3,0,0,1,3,3,0,6,8,0,0,28,9,0,0,1
775,08105,05,17,19,27,28,32,02,128,21.33,38,4,2,2,3,1,5,1,4,5,10,1,1,27,12,0,1,2
776,08106,14,19,25,27,29,30,15,144,24.00,34,4,2,2,3,0,5,1,4,5,7,1,1,16,6,1,2,2
777,08107,06,13,18,22,27,32,04,118,19.67,28,2,4,-2,0,1,4,2,2,5,6,0,0,26,7,0,1,2
778,08108,09,10,15,17,23,30,12,104,17.33,24,4,2,2,2,0,3,3,0,5,6,1,1,21,7,0,0,2
779,08109,04,07,09,16,21,28,10,85,14.17,35,3,3,0,1,0,2,4,-2,6,6,0,0,24,7,0,1,2
780,08110,10,16,22,23,29,31,02,131,21.83,21,3,3,0,2,2,4,2,2,6,6,1,1,21,6,0,1,3
781,08111,17,18,21,25,31,32,06,144,24.00,24,4,2,2,2,0,6,0,6,5,6,2,2,15,6,0,1,3
782,08112,05,13,14,19,22,23,06,96,16.00,26,4,2,2,1,0,3,3,0,5,6,2,2,18,8,0,0,2
783,08113,06,09,10,12,17,22,09,76,12.67,26,2,4,-2,0,1,2,4,-2,5,8,1,1,16,5,0,1,3
784,08114,04,09,20,24,25,31,14,113,18.83,23,3,3,0,1,1,4,2,2,5,7,1,1,27,11,1,1,1
785,08115,02,12,13,14,17,18,06,76,12.67,26,2,4,-2,0,1,2,4,-2,5,6,3,2,16,10,0,0,0
786,08116,03,07,21,22,24,29,14,106,17.67,26,4,2,2,2,1,4,2,2,6,10,1,1,26,14,0,0,1
787,08117,03,05,07,10,14,33,07,72,12.00,22,4,2,2,2,1,1,5,-4,5,7,0,0,30,19,1,2,0
788,08118,04,09,16,27,31,33,01,120,20.00,30,4,2,2,2,0,3,3,0,6,10,0,0,29,11,1,1,2
789,08119,05,07,09,15,24,29,07,89,14.83,39,5,1,4,3,0,2,4,-2,4,9,0,0,24,9,0,1,2
790,08120,10,11,22,24,26,33,02,126,21.00,16,2,4,-2,0,2,4,2,2,6,8,1,1,23,11,0,1,1
791,08121,02,22,23,27,31,32,06,137,22.83,17,3,3,0,2,1,5,1,4,4,6,2,2,30,20,0,1,3
792,08122,02,08,11,14,19,26,15,80,13.33,30,2,4,-2,0,1,2,4,-2,6,7,0,0,24,7,1,1,1
793,08123,10,11,15,16,25,29,02,106,17.67,26,4,2,2,2,0,2,4,-2,5,6,2,2,19,9,0,1,3
794,08124,01,07,10,13,21,22,03,74,12.33,14,4,2,2,2,0,2,4,-2,5,6,1,1,21,8,0,1,1
795,08125,10,11,12,15,26,29,09,103,17.17,23,3,3,0,0,0,2,4,-2,6,7,2,1,19,11,0,1,2
796,08126,04,11,12,14,20,30,13,91,15.17,11,1,5,-4,0,3,2,4,-2,4,7,1,1,26,10,2,2,4
797,08127,05,08,19,22,27,30,13,111,18.50,31,3,3,0,0,0,4,2,2,6,4,0,0,25,11,1,1,2
798,08128,01,05,19,20,27,33,05,105,17.50,25,5,1,4,3,0,4,2,2,6,9,1,1,32,14,2,3,1
799,08129,01,03,18,24,25,32,15,103,17.17,23,3,3,0,1,1,4,2,2,6,9,1,1,31,15,1,1,2
800,08130,01,12,18,28,30,32,06,121,20.17,21,1,5,-4,0,4,4,2,2,4,9,0,0,31,11,3,3,0
801,08131,02,12,15,18,22,32,08,101,16.83,21,1,5,-4,0,3,3,3,0,3,6,0,0,30,10,2,3,1
802,08132,09,13,16,25,27,33,08,123,20.50,33,5,1,4,3,0,3,3,0,5,10,0,0,24,9,0,0,3
803,08133,08,11,16,19,24,26,11,104,17.33,34,2,4,-2,0,1,3,3,0,5,6,0,0,18,5,1,1,3
804,08134,10,15,19,20,28,32,02,124,20.67,24,2,4,-2,1,2,4,2,2,5,6,1,1,22,8,0,1,3
805,08135,05,14,15,16,19,21,15,90,15.00,30,4,2,2,1,0,2,4,-2,5,7,2,1,16,9,0,2,4
806,08136,05,09,10,12,18,28,02,82,13.67,32,2,4,-2,1,3,2,4,-2,5,10,1,1,23,10,1,1,1
807,08137,01,04,24,28,29,33,09,119,19.83,29,3,3,0,1,2,4,2,2,5,8,1,1,32,20,0,1,2
808,08138,07,14,19,23,25,32,04,120,20.00,30,4,2,2,2,0,4,2,2,6,7,0,0,25,7,0,0,3
809,08139,08,09,19,23,25,26,07,110,18.33,40,4,2,2,3,0,4,2,2,5,8,2,2,18,10,3,3,2
810,08140,07,14,16,29,30,31,14,127,21.17,27,3,3,0,0,1,3,3,0,6,7,2,1,24,13,0,0,1
811,08141,03,13,20,25,29,33,15,123,20.50,23,5,1,4,3,0,4,2,2,4,9,0,0,30,10,0,1,2
812,08142,05,06,10,13,17,28,15,79,13.17,29,3,3,0,1,1,2,4,-2,6,7,1,1,23,11,0,1,1
813,08143,12,17,18,19,26,27,06,119,19.83,39,3,3,0,0,0,5,1,4,5,5,3,2,15,7,0,1,3
814,08144,02,05,10,27,29,33,15,106,17.67,26,4,2,2,2,0,3,3,0,6,10,0,0,31,17,0,1,1
815,08145,07,13,18,22,26,29,02,115,19.17,35,3,3,0,1,2,4,2,2,6,8,0,0,22,6,0,1,1
816,08146,07,08,17,19,31,32,10,114,19.00,34,4,2,2,2,0,4,2,2,5,7,2,2,25,12,1,1,3
817,08147,07,08,14,22,26,33,02,110,18.33,30,2,4,-2,0,3,3,3,0,6,8,1,1,26,8,2,2,3
818,08148,03,05,09,22,26,28,09,93,15.50,33,3,3,0,2,2,3,3,0,6,4,0,0,25,13,2,2,1
819,08149,10,14,22,28,29,33,02,136,22.67,26,2,4,-2,1,3,4,2,2,6,8,1,1,23,8,0,2,2
820,08150,04,19,22,24,29,32,02,130,21.67,30,2,4,-2,0,1,5,1,4,3,7,0,0,28,15,2,2,2
821,08151,06,08,10,14,17,19,06,74,12.33,34,2,4,-2,1,3,2,4,-2,6,5,0,0,13,4,0,1,0
822,08152,01,04,06,22,26,30,08,89,14.83,19,1,5,-4,0,4,3,3,0,5,9,0,0,29,16,0,1,0
823,08153,01,04,18,21,24,30,16,98,16.33,18,2,4,-2,0,2,4,2,2,4,5,0,0,29,14,3,3,1
824,08154,02,05,07,21,22,26,08,83,13.83,23,3,3,0,2,1,3,3,0,5,8,1,1,24,14,1,1,3
825,09001,04,21,23,24,30,31,04,133,22.17,13,3,3,0,1,1,5,1,4,4,8,2,2,27,17,0,1,3
826,09002,10,14,17,25,29,33,14,128,21.33,28,4,2,2,3,1,4,2,2,6,5,0,0,23,8,0,0,2
827,09003,02,03,06,15,25,30,02,81,13.50,21,3,3,0,1,0,2,4,-2,5,10,1,1,28,10,0,1,2
828,09004,03,11,13,17,28,31,03,103,17.17,23,5,1,4,3,0,3,3,0,4,9,0,0,28,11,0,1,2
829,09005,01,03,08,15,17,21,13,65,10.83,25,5,1,4,3,0,2,4,-2,5,7,0,0,20,7,0,2,0
830,09006,06,12,18,20,26,33,02,115,19.17,25,1,5,-4,0,4,4,2,2,5,6,0,0,27,7,0,0,2
831,09007,01,05,12,23,25,26,15,92,15.33,22,4,2,2,2,0,3,3,0,5,9,1,1,25,11,0,2,2
832,09008,04,15,16,22,32,33,02,122,20.33,22,2,4,-2,0,2,3,3,0,5,6,2,2,29,11,0,0,2
833,09009,08,15,21,30,31,33,02,138,23.00,18,4,2,2,2,0,4,2,2,5,10,1,1,25,9,2,2,4
834,09010,03,10,17,19,20,24,02,93,15.50,23,3,3,0,1,1,4,2,2,5,7,1,1,21,7,0,0,1
835,09011,02,04,13,14,18,23,15,74,12.33,24,2,4,-2,0,2,2,4,-2,4,7,1,1,21,9,0,0,4
836,09012,05,11,14,17,18,28,01,93,15.50,33,3,3,0,1,1,3,3,0,5,8,1,1,23,10,1,2,3
837,09013,04,08,09,21,26,27,09,95,15.83,35,3,3,0,1,1,3,3,0,6,6,2,2,23,12,0,0,2
838,09014,03,06,09,14,15,18,02,65,10.83,35,3,3,0,0,0,1,5,-4,6,5,1,1,15,5,1,1,2
839,09015,02,04,06,15,17,32,05,76,12.67,26,2,4,-2,1,2,2,4,-2,5,5,0,0,30,15,0,2,4
840,09016,02,07,13,16,20,33,03,91,15.17,21,3,3,0,1,1,2,4,-2,5,9,0,0,31,13,1,1,3
841,09017,06,14,15,19,25,26,08,105,17.50,35,3,3,0,2,1,3,3,0,4,8,2,2,20,8,0,0,4
842,09018,02,05,06,19,27,30,15,89,14.83,29,3,3,0,1,0,3,3,0,6,8,1,1,28,13,1,2,2
843,09019,06,17,19,20,26,27,04,115,19.17,35,3,3,0,1,1,5,1,4,4,8,2,2,21,11,0,3,3
844,09020,03,05,07,10,19,23,13,67,11.17,27,5,1,4,3,0,2,4,-2,5,7,0,0,20,9,0,1,3
845,09021,01,04,05,17,24,27,09,78,13.00,28,4,2,2,1,0,3,3,0,4,8,1,1,26,12,0,1,2
