,期数,开奖日期,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球_1,红球_1 顺序,红球_2 顺序,红球_3 顺序,红球_4 顺序,红球_5 顺序,红球_6 顺序,奖池奖金,一等奖注数,一等奖奖金,二等奖注数,二等奖奖金,总投注额,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
36,23008,2023-01-17,05,13,18,20,26,28,06,13,26,05,18,20,28,"1,753,087,580",9,"7,109,708",146,"162,563","367,864,780",110,18.33,30,2,4,-2,1,3,4,2,2,5,5,0,0,23,8,1,1,2
37,23007,2023-01-15,05,06,09,22,25,31,03,05,25,31,09,22,06,"1,745,872,298",3,"10,000,000",160,"134,413","357,680,590",98,16.33,28,4,2,2,1,0,3,3,0,5,8,1,1,26,13,0,0,2
38,23006,2023-01-12,02,10,12,14,24,26,05,02,12,14,24,26,10,"1,711,353,726",13,"6,407,426",109,"209,822","341,187,596",88,14.67,18,0,6,-6,0,5,2,4,-2,4,4,0,0,24,10,1,2,2
39,23005,2023-01-10,02,06,08,13,14,19,16,13,14,06,08,19,02,"1,726,038,229",2,"10,000,000",153,"163,847","331,127,174",62,10.33,32,2,4,-2,0,2,1,5,-4,6,6,1,1,17,5,0,0,5
40,23004,2023-01-08,01,07,15,16,20,25,16,16,20,01,15,07,25,"1,670,832,253",8,"7,480,475",166,"149,426","362,777,504",84,14.00,24,4,2,2,2,1,2,4,-2,5,8,1,1,24,8,0,1,1
41,23003,2023-01-05,05,08,18,25,30,32,06,32,18,08,25,30,05,"1,656,261,800",8,"7,009,723",112,"179,439","332,514,694",118,19.67,28,2,4,-2,0,2,4,2,2,4,9,0,0,27,10,0,1,1
42,23002,2023-01-03,02,06,10,16,18,22,13,02,16,10,06,22,18,"1,652,047,889",6,"8,064,366",164,"140,138","317,440,920",74,12.33,24,0,6,-6,0,5,2,4,-2,4,4,0,0,20,6,0,3,1
43,23001,2023-01-01,09,16,18,22,28,32,02,32,16,22,18,09,28,"1,631,485,850",7,"7,738,461",135,"177,492","349,018,800",125,20.83,35,1,5,-4,0,4,4,2,2,4,7,0,0,23,7,0,2,0
44,22150,2022-12-29,01,07,11,12,22,28,05,07,28,01,22,11,12,"1,613,770,461",9,"6,598,391",203,"88,580","322,732,470",81,13.50,21,3,3,0,2,2,2,4,-2,4,6,1,1,27,10,0,1,2
45,22149,2022-12-27,02,22,26,29,32,33,14,29,33,26,32,22,02,"1,619,210,281",7,"8,014,411",94,"280,596","305,443,962",144,24.00,24,2,4,-2,0,2,5,1,4,4,7,1,1,31,20,1,1,2
46,22148,2022-12-25,02,15,16,17,21,31,14,15,17,16,21,31,02,"1,596,182,866",9,"7,166,343",72,"338,491","328,466,772",102,17.00,22,4,2,2,2,0,3,3,0,5,7,2,1,29,13,1,1,3
47,22147,2022-12-22,02,03,07,13,20,30,10,30,02,20,07,03,13,"1,587,565,859",17,"5,619,498",148,"88,948","308,727,648",75,12.50,15,3,3,0,2,1,2,4,-2,4,8,1,1,28,10,0,2,2
48,22146,2022-12-20,06,07,13,18,26,31,06,31,26,13,18,07,06,"1,643,604,313",9,"6,501,941",391,"43,214","319,241,960",101,16.83,31,3,3,0,1,1,3,3,0,5,8,1,1,25,8,0,1,2
49,22145,2022-12-18,03,21,25,30,31,33,11,30,21,31,03,33,25,"1,651,431,252",4,"10,000,000",68,"373,743","366,333,090",143,23.83,13,5,1,4,3,0,5,1,4,4,10,1,1,30,18,1,1,4
50,22144,2022-12-15,07,20,22,23,31,32,05,23,31,32,20,22,07,"1,615,187,506",11,"6,900,814",65,"402,095","400,859,910",135,22.50,15,3,3,0,1,1,5,1,4,5,8,2,2,25,13,1,1,3
51,22143,2022-12-13,07,08,13,29,30,33,03,29,30,33,07,13,08,"1,612,687,877",15,"6,243,187",149,"156,441","397,641,696",120,20.00,30,4,2,2,1,0,3,3,0,5,8,2,2,26,16,1,1,0
52,22142,2022-12-11,01,03,13,16,21,27,03,21,03,16,13,01,27,"1,636,406,391",12,"5,674,258",122,"82,900","440,572,602",81,13.50,21,5,1,4,3,0,2,4,-2,4,10,0,0,26,10,2,2,3
53,22141,2022-12-08,05,12,13,17,20,27,14,27,17,13,05,20,12,"1,674,155,872",21,"6,324,820",135,"257,603","415,110,854",94,15.67,24,4,2,2,1,0,3,3,0,5,6,1,1,22,7,2,2,2
54,22140,2022-12-06,08,09,18,19,20,27,15,27,20,19,18,09,08,"1,702,647,485",19,"5,889,308",673,"31,383","397,499,610",101,16.83,41,3,3,0,0,0,4,2,2,4,5,3,2,19,9,0,2,3
55,22139,2022-12-04,06,07,09,16,17,19,14,09,16,06,19,07,17,"1,751,181,135",12,"7,006,326",443,"67,934","421,220,444",74,12.33,44,4,2,2,2,0,2,4,-2,3,5,2,2,13,7,0,1,0
56,22138,2022-12-01,02,14,19,21,25,28,11,28,21,19,14,02,25,"1,744,972,360",2,"10,000,000",67,"341,021","382,295,872",109,18.17,29,3,3,0,2,1,4,2,2,6,9,0,0,26,12,0,2,1
57,22137,2022-11-29,08,21,23,27,28,33,01,28,23,27,33,21,08,"1,696,427,005",8,"7,627,191",160,"164,199","380,398,430",140,23.33,30,4,2,2,2,0,5,1,4,4,8,1,1,25,13,1,1,2
58,22136,2022-11-27,08,10,14,15,18,22,08,08,18,22,15,10,14,"1,678,628,784",19,"5,761,544",122,"148,251","412,826,960",87,14.50,27,1,5,-4,0,3,2,4,-2,5,6,1,1,14,4,0,0,3
59,22135,2022-11-24,09,11,13,24,28,32,06,13,24,09,32,28,11,"1,733,838,061",12,"6,964,835",143,"206,101","402,652,460",117,19.50,27,3,3,0,2,2,3,3,0,6,5,0,0,23,11,0,1,2
60,22134,2022-11-22,01,05,14,17,24,31,14,31,01,14,05,17,24,"1,728,998,506",10,"7,386,723",90,"331,489","404,859,714",92,15.33,22,4,2,2,1,0,3,3,0,4,9,0,0,30,9,1,2,2
61,22133,2022-11-20,05,08,16,17,21,25,12,17,16,08,05,25,21,"1,713,363,599",11,"7,308,534",241,"131,711","457,083,562",92,15.33,32,4,2,2,2,1,3,3,0,5,7,1,1,20,8,0,0,2
62,22132,2022-11-17,01,03,18,26,32,33,04,33,26,32,18,01,03,"1,698,530,418",4,"10,000,000",88,"370,814","439,981,994",113,18.83,23,3,3,0,1,2,4,2,2,5,9,1,1,32,15,0,1,1
63,22131,2022-11-15,03,05,10,13,19,29,06,05,29,19,03,10,13,"1,640,635,486",19,"5,876,981",251,"82,981","425,292,626",79,13.17,29,5,1,4,3,0,2,4,-2,4,8,0,0,26,10,0,0,2
64,22130,2022-11-13,02,08,15,17,26,28,12,26,08,17,28,15,02,"1,689,813,201",50,"5,228,012",542,"26,293","446,023,212",96,16.00,36,2,4,-2,1,2,3,3,0,5,6,0,0,26,9,0,0,3
65,22129,2022-11-10,10,12,14,22,24,27,07,10,12,14,22,27,24,"1,908,461,423",7,"7,828,409",102,"242,633","430,007,836",109,18.17,19,1,5,-4,0,4,3,3,0,4,6,0,0,17,8,1,3,0
66,22128,2022-11-08,03,12,18,24,27,29,01,12,24,18,03,27,29,"1,889,014,542",11,"7,471,238",210,"161,807","420,999,886",113,18.83,33,3,3,0,1,2,4,2,2,6,7,0,0,26,9,1,2,1
67,22127,2022-11-06,03,04,09,10,29,33,13,29,04,10,03,09,33,"1,869,259,580",5,"10,000,000",178,"210,151","455,409,958",88,14.67,28,4,2,2,1,0,2,4,-2,4,8,2,2,30,19,1,1,0
68,22126,2022-11-03,01,13,15,17,26,33,13,01,13,26,15,33,17,"1,807,038,683",6,"9,507,372",151,"223,876","436,137,344",105,17.50,25,5,1,4,3,0,3,3,0,5,8,0,0,32,12,0,0,2
69,22125,2022-11-01,02,03,07,12,20,31,16,12,31,20,03,07,02,"1,762,667,038",7,"7,965,155",231,"112,316","429,659,904",75,12.50,15,3,3,0,1,1,2,4,-2,5,9,1,1,29,11,0,0,1
